date,addr,city,state,country
Aug 30,The Alley Cat Club,Soho,London,UK
Aug 29,The Boogaloo,Highgate,London,UK
Aug 26,O2 Academy 3,Birmingham,London,UK
Aug 25,Morso,Barnt Green,Worcestershire,UK
Aug 24,Paradise Open Jam,London,London,UK
