date,addr,city,state,country
Oct 28,The Hub,Tampa,FL,US
Oct 20,Island Bar,Surfside,SC,US
Oct 19,Moe’s Orig. BBQ,Georgetown,SC,US
Oct 11,Hell’s Kitchen Lounge,Newark,NJ,US
Oct 7,Gerstles,Louisville,KY,US
Oct 6,Tim Faulkner Gallery,Louisville,KY,US
Oct 3,Boobie Trap Bar,Topeka,KS,US
Oct 1,Replay Lounge,Lawrence,KS,US
